"Reference","Qty","Value","Exclude from BOM","Footprint","Description","Manufacturer Part Number"
"H5,H6,H7,H8","4","MountingHole","Excluded from BOM","MountingHole:MountingHole_2.1mm","Mounting Hole without connection",""
"C3","1","100 uF","","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","08056D107MAT2A"
"J1","1","Conn_01x02_Pin","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","Generic connector, single row, 01x02, script generated"," B2B-XH-A"
"J2","1","Battery_1x2","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","Generic connector, single row, 01x02, script generated"," B2B-XH-A"
"U1","1","BQ24075","","BQ24075:QFN16","","BQ24075RGTR"
"C10","1","47 uF","","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","CC0805MKX5R6BB476"
"C4,C6","2","4.7uF","","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","CL21B475KBB6PNE"
"R18","1","511k","","Resistor_SMD:R_0805_2012Metric","Resistor","CR0805-FX-5113ELF"
"L2","1","DFE18SAN1R0ME0L","","DFE18SAN1ROMEO Inductor:INDC1608X80N","","DFE18SAN1R0ME0L"
"D3","1","SS34","","Diode_SMD:D_SMA","40V 3A Schottky Diode, SMA","DIOM7959X265N"
"R3","1","46.4k","","Resistor_SMD:R_0805_2012Metric","Resistor","ERA-6AED4642V "
"R12,R13","2","5.1k","","Resistor_SMD:R_0805_2012Metric","Resistor","ERA-6ARB512V"
"R17","1","91k","","Resistor_SMD:R_0805_2012Metric","Resistor","ERA-6ARB913V"
"R1","1","1.18k","","Resistor_SMD:R_0805_2012Metric","Resistor","ERJ-U06D1181V "
"C5","1","1uF","","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","KAF21KR71H105JU"
"C9","1","22 uF","","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","KAM21AT70J226MU"
"R4","1","10k","","Resistor_SMD:R_0805_2012Metric","Resistor","MCU0805MD1002BP500 "
"R2","1","1.13k","","Resistor_SMD:R_0805_2012Metric","Resistor","PAT0805E1131BST1"
"R5,R6","2","1.5k","","Resistor_SMD:R_0805_2012Metric","Resistor","RT73F2A1K5BTD"
"D1,D2","2","SML-D12U1WT86","","LED - SML_D12U1WT86:LED_SML-D12U1WT86","","SML-D12U1WT86"
"J5","1","Conn_01x02_Pin","","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","Generic connector, single row, 01x02, script generated","TMM-102-02-T-S"
"U6","1","TPS631011YBGR-Pin_Corrected","","DSBGA8_YBG_TEX","","TPS631011YBGR"
"J3","1","USB_C_Receptacle_USB2.0_14P","","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","USB 2.0-only 14P Type-C Receptacle connector","USB4105-GF-A"
"U5","1","USBLC6-2SC6","","Package_TO_SOT_SMD:SOT-23-6","Very low capacitance ESD protection diode, 2 data-line, SOT-23-6","USBLC6-2SC6"
