Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100 uF","C_0805_2012Metric",154.800000,-94.100000,180.000000,top
"C4","4.7uF","C_0805_2012Metric",163.750000,-99.960000,0.000000,top
"C5","1uF","C_0805_2012Metric",158.110000,-92.540000,-90.000000,top
"C6","4.7uF","C_0805_2012Metric",163.735000,-91.895000,0.000000,top
"C9","22 uF","C_0805_2012Metric",162.750000,-82.990000,90.000000,top
"C10","47 uF","C_0805_2012Metric",157.275000,-82.715000,90.000000,top
"D1","SML-D12U1WT86","LED_SML-D12U1WT86",167.615000,-98.905000,0.000000,top
"D2","SML-D12U1WT86","LED_SML-D12U1WT86",167.505000,-95.285000,0.000000,top
"D3","SS34","D_SMA",153.400000,-89.800000,180.000000,top
"J1","Conn_01x02_Pin","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",149.500000,-83.600000,0.000000,top
"J2","Conn_01x02_Pin","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",149.500000,-108.000000,0.000000,top
"J3","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",143.735000,-97.090000,-90.000000,top
"J5","Conn_01x02_Pin","PinHeader_1x02_P2.00mm_Vertical",152.950000,-101.050000,90.000000,top
"L2","DFE18SAN1R0ME0L","INDC1608X80N",160.025000,-82.040000,0.000000,top
"R1","1.18k","R_0805_2012Metric",160.910000,-91.107500,-90.000000,top
"R2","1.13k","R_0805_2012Metric",158.745000,-101.030000,0.000000,top
"R3","46.4k","R_0805_2012Metric",158.085000,-96.160000,90.000000,top
"R4","10k","R_0805_2012Metric",159.970000,-103.080000,0.000000,top
"R5","1.5k","R_0805_2012Metric",167.555000,-97.145000,180.000000,top
"R6","1.5k","R_0805_2012Metric",167.435000,-93.535000,180.000000,top
"R7","10k","R_0805_2012Metric",158.650000,-98.930000,180.000000,top
"R12","5.1k","R_0805_2012Metric",150.000000,-101.000000,-90.000000,top
"R13","5.1k","R_0805_2012Metric",151.200000,-93.500000,90.000000,top
"R17","91k","R_0805_2012Metric",160.425000,-86.665000,0.000000,top
"R18","511k","R_0805_2012Metric",156.850000,-86.690000,180.000000,top
"U1","BQ24075","QFN16",162.410000,-95.810000,90.000000,top
"U5","USBLC6-2SC6","SOT-23-6",152.900000,-97.100000,0.000000,top
"U6","TPS631011YBGR-Pin_Corrected","DSBGA8_YBG_TEX",160.199925,-83.940000,-90.000000,top
